session_id,image_path,image_group,frame_id,detection_id,source_type,class_id,class_name,confidence,old_status,new_status,old_reject_reason,new_reject_reason,original_class_id,original_class_name,new_class_id,new_class_name,corrected_class_id,corrected_class_name,class_corrected_by_color,correction_reason,color_correction_score,review_candidate,review_reason,mask_density,mask_area,box_area,red_ratio,orange_ratio,warm_ratio,green_yellow_ratio,bbox_x,bbox_y,bbox_w,bbox_h,promoted_by_policy,promotion_reason,heuristic_type,anchor_detection_id,anchor_bunch_class,anchor_bunch_confidence,child_detection_ids,child_count,weak_child_count,strong_child_count,weighted_child_count,ripe_evidence_score,unripe_evidence_score,dominant_maturity,heuristic_score,bbox_source
session_20260630_103628,images_ok_raw/ok_20260630_103642_000001.jpg,images_ok_raw,1,0,model,1,ripe,0.795658,weak,review,weak/noise conf 0.80<0.80,near_threshold_ripe_color_mask_support,1,ripe,1,ripe,,,False,,,True,near_threshold_ripe_color_mask_support,0.758824,8256.0,9307.879883,0.862903,0.08871,0.951613,0.048387,308.9375,646.59375,128.21875,72.59375,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103643_000002.jpg,images_ok_raw,2,3,model,2,unripe,0.827826,weak,review,weak/noise conf 0.83<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.691176,15040.0,19706.164062,0.0,0.0,0.0,1.0,78.8125,481.625,149.75,131.59375,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103644_000003.jpg,images_ok_raw,3,8,model,2,unripe,0.844924,weak,review,weak/noise conf 0.84<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.786842,19136.0,22812.955078,0.0,0.0,0.0,1.0,680.78125,338.0,152.53125,149.5625,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103644_000003.jpg,images_ok_raw,3,9,model,2,unripe,0.833324,weak,review,weak/noise conf 0.83<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.747863,11200.0,13981.214844,0.0,0.0,0.0,1.0,758.5,272.125,135.125,103.46875,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103644_000003.jpg,images_ok_raw,3,10,model,2,unripe,0.814053,weak,review,weak/noise conf 0.81<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.76,19456.0,23749.679688,0.0,0.045714,0.045714,0.96,565.5625,564.125,153.96875,154.25,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103645_000004.jpg,images_ok_raw,4,10,model,2,unripe,0.834406,weak,review,weak/noise conf 0.83<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.630037,22016.0,31017.228516,0.003356,0.073826,0.077181,0.969799,710.28125,74.3125,155.71875,199.1875,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103645_000004.jpg,images_ok_raw,4,11,model,2,unripe,0.800692,weak,review,weak/noise conf 0.80<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.736842,17024.0,21921.564453,0.0,0.034884,0.034884,0.953488,577.625,568.25,145.71875,150.4375,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103646_000005.jpg,images_ok_raw,5,7,model,2,unripe,0.841828,weak,review,weak/noise conf 0.84<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.688492,22208.0,28593.039062,0.0,0.003367,0.003367,1.0,643.28125,437.9375,182.59375,156.59375,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103646_000005.jpg,images_ok_raw,5,8,model,2,unripe,0.840784,weak,review,weak/noise conf 0.84<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.760234,16640.0,19643.738281,0.0,0.0,0.0,1.0,849.203125,460.09375,138.671875,141.65625,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103646_000005.jpg,images_ok_raw,5,10,model,2,unripe,0.819894,weak,review,weak/noise conf 0.82<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.774074,13376.0,15315.371094,0.0,0.0,0.0,0.971831,835.484375,604.25,134.640625,113.75,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103649_000008.jpg,images_ok_raw,8,6,model,2,unripe,0.834406,weak,review,weak/noise conf 0.83<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.675439,14784.0,19291.972656,0.0,0.0,0.0,1.0,864.773438,388.4375,143.601562,134.34375,False,,,,,,,,,,,,,,,
